Period,age,pi,year,cohort,prop_col,data,prop_no_col,college_share_model
2005-2009,70,.8827800154685974,2005,1935,.11070506,1,.88929492,.082731463
1985-1989,50,.9690999984741211,1985,1935,.11070506,1,.88929492,.082731463
2025-2030,90,.45098832,2025,1935,.11070506,1,.88929492,.082731463
1975-1979,40,.9848899841308594,1975,1935,.11070506,1,.88929492,.082731463
1955-1959,20,.9934700131416321,1955,1935,.11070506,1,.88929492,.082731463
2015-2020,80,.7434168799999999,2015,1935,.11070506,1,.88929492,.082731463
1965-1969,30,.9915000200271606,1965,1935,.11070506,1,.88929492,.082731463
2020-2025,85,.61152836,2020,1935,.11070506,1,.88929492,.082731463
1995-1999,60,.9362999796867371,1995,1935,.11070506,1,.88929492,.082731463
1980-1984,45,.9790199995040894,1980,1935,.11070506,1,.88929492,.082731463
1995-1999,55,.9592599868774414,1995,1940,.13912612,0,.86087388,.082731463
2020-2025,80,.74866968,2020,1940,.13912612,0,.86087388,.082731463
1960-1964,20,.9938499927520752,1960,1940,.13912612,0,.86087388,.082731463
2030-2035,90,.47333564,2030,1940,.13912612,0,.86087388,.082731463
1980-1984,40,.9869400262832642,1980,1940,.13912612,0,.86087388,.082731463
2010-2014,70,.8910899758338928,2010,1940,.13912612,0,.86087388,.082731463
1970-1974,30,.9917100071907043,1970,1940,.13912612,0,.86087388,.082731463
1975-1979,35,.9902399778366089,1975,1940,.13912612,0,.86087388,.082731463
2000-2004,60,.9419500231742859,2000,1940,.13912612,0,.86087388,.082731463
2015-2020,75,.83684719,2015,1940,.13912612,0,.86087388,.082731463
2025-2030,85,.627022,2025,1940,.13912612,0,.86087388,.082731463
2005-2009,65,.9224100112915039,2005,1940,.13912612,0,.86087388,.082731463
2035-2040,95,.28047201,2035,1940,.13912612,0,.86087388,.082731463
1965-1969,25,.9930400252342224,1965,1940,.13912612,0,.86087388,.082731463
1990-1994,50,.9716799855232239,1990,1940,.13912612,0,.86087388,.082731463
1985-1989,45,.9806699752807617,1985,1940,.13912612,0,.86087388,.082731463
2030-2035,85,.65104431,2030,1945,.16383532,1,.83616471,.082731463
2000-2004,55,.9622300267219543,2000,1945,.16383532,1,.83616471,.082731463
1965-1969,20,.993149995803833,1965,1945,.16383532,1,.83616471,.082731463
1970-1974,25,.9929800033569336,1970,1945,.16383532,1,.83616471,.082731463
2010-2014,65,.9277899861335754,2010,1945,.16383532,1,.83616471,.082731463
2015-2020,70,.89336068,2015,1945,.16383532,1,.83616471,.082731463
2020-2025,75,.84050531,2020,1945,.16383532,1,.83616471,.082731463
1995-1999,50,.9739199876785278,1995,1945,.16383532,1,.83616471,.082731463
1980-1984,35,.991349995136261,1980,1945,.16383532,1,.83616471,.082731463
1975-1979,30,.9929800033569336,1975,1945,.16383532,1,.83616471,.082731463
1990-1994,45,.9813799858093262,1990,1945,.16383532,1,.83616471,.082731463
2035-2040,90,.48792705,2035,1945,.16383532,1,.83616471,.082731463
2025-2030,80,.76189104,2025,1945,.16383532,1,.83616471,.082731463
2040-2045,95,.28884149,2040,1945,.16383532,1,.83616471,.082731463
2005-2009,60,.9474700093269348,2005,1945,.16383532,1,.83616471,.082731463
1985-1989,40,.9873700141906738,1985,1945,.16383532,1,.83616471,.082731463
2035-2040,85,.6660236,2035,1950,.18312272,0,.81687725,.082731463
2025-2030,75,.85008943,2025,1950,.18312272,0,.81687725,.082731463
1970-1974,20,.9928399920463562,1970,1950,.18312272,0,.81687725,.082731463
2005-2009,55,.9644899964332581,2005,1950,.18312272,0,.81687725,.082731463
1980-1984,30,.993340015411377,1980,1950,.18312272,0,.81687725,.082731463
2040-2045,90,.50205768,2040,1950,.18312272,0,.81687725,.082731463
1985-1989,35,.9907199740409851,1985,1950,.18312272,0,.81687725,.082731463
1975-1979,25,.9935600161552429,1975,1950,.18312272,0,.81687725,.082731463
2015-2020,65,.92876068,2015,1950,.18312272,0,.81687725,.082731463
1995-1999,45,.9824000000953674,1995,1950,.18312272,0,.81687725,.082731463
2045-2050,95,.29718865,2045,1950,.18312272,0,.81687725,.082731463
2020-2025,70,.89625397,2020,1950,.18312272,0,.81687725,.082731463
2000-2004,50,.9747200012207031,2000,1950,.18312272,0,.81687725,.082731463
1990-1994,40,.9869499802589417,1990,1950,.18312272,0,.81687725,.082731463
2030-2035,80,.78147809,2030,1950,.18312272,0,.81687725,.082731463
2010-2014,60,.9501799941062927,2010,1950,.18312272,0,.81687725,.082731463
2050-2055,95,.30520115,2050,1955,.19775014,1,.80224985,.082731463
2035-2040,80,.7935854,2035,1955,.19775014,1,.80224985,.082731463
1980-1984,25,.9939699769020081,1980,1955,.19775014,1,.80224985,.082731463
2025-2030,70,.90299763,2025,1955,.19775014,1,.80224985,.082731463
1975-1979,20,.9934300184249878,1975,1955,.19775014,1,.80224985,.082731463
2000-2004,45,.9822999835014343,2000,1955,.19775014,1,.80224985,.082731463
2030-2035,75,.86442,2030,1955,.19775014,1,.80224985,.082731463
2010-2014,55,.9645500183105469,2010,1955,.19775014,1,.80224985,.082731463
2005-2009,50,.9747499823570251,2005,1955,.19775014,1,.80224985,.082731463
2045-2050,90,.51606312,2045,1955,.19775014,1,.80224985,.082731463
1985-1989,30,.9926300048828125,1985,1955,.19775014,1,.80224985,.082731463
2015-2020,60,.94817127,2015,1955,.19775014,1,.80224985,.082731463
2020-2025,65,.92940077,2020,1955,.19775014,1,.80224985,.082731463
2040-2045,85,.6804211,2040,1955,.19775014,1,.80224985,.082731463
1990-1994,35,.9899799823760986,1990,1955,.19775014,1,.80224985,.082731463
1995-1999,40,.9875699877738953,1995,1955,.19775014,1,.80224985,.082731463
2025-2030,65,.9339288,2025,1960,.21009697,0,.78990304,.082731463
1990-1994,30,.9922800064086914,1990,1960,.21009697,0,.78990304,.082731463
2045-2050,85,.69430479,2045,1960,.21009697,0,.78990304,.082731463
2030-2035,70,.9129606,2030,1960,.21009697,0,.78990304,.082731463
2010-2014,50,.9756399989128113,2010,1960,.21009697,0,.78990304,.082731463
1995-1999,35,.9911999702453613,1995,1960,.21009697,0,.78990304,.082731463
2000-2004,40,.9880800247192383,2000,1960,.21009697,0,.78990304,.082731463
2040-2045,80,.80495682,2040,1960,.21009697,0,.78990304,.082731463
2055-2060,95,.31299674,2055,1960,.21009697,0,.78990304,.082731463
2020-2025,60,.94993417,2020,1960,.21009697,0,.78990304,.082731463
1980-1984,20,.99413001537323,1980,1960,.21009697,0,.78990304,.082731463
2050-2055,90,.52913765,2050,1960,.21009697,0,.78990304,.082731463
1985-1989,25,.9939699769020081,1985,1960,.21009697,0,.78990304,.082731463
2015-2020,55,.96341504,2015,1960,.21009697,0,.78990304,.082731463
2035-2040,75,.87309286,2035,1960,.21009697,0,.78990304,.082731463
2005-2009,45,.98294997215271,2005,1960,.21009697,0,.78990304,.082731463
2010-2014,45,.9842600226402283,2010,1965,.22294506,1,.77705491,.082731463
2005-2009,40,.9888700246810913,2005,1965,.22294506,1,.77705491,.082731463
2050-2055,85,.70704472,2050,1965,.22294506,1,.77705491,.082731463
1985-1989,20,.9944800138473511,1985,1965,.22294506,1,.77705491,.082731463
1995-1999,30,.9935399889945984,1995,1965,.22294506,1,.77705491,.082731463
1990-1994,25,.9939900040626526,1990,1965,.22294506,1,.77705491,.082731463
2045-2050,80,.81580939,2045,1965,.22294506,1,.77705491,.082731463
2035-2040,70,.9189903,2035,1965,.22294506,1,.77705491,.082731463
2030-2035,65,.94072077,2030,1965,.22294506,1,.77705491,.082731463
2055-2060,90,.54165125,2055,1965,.22294506,1,.77705491,.082731463
2060-2065,95,.32070779,2060,1965,.22294506,1,.77705491,.082731463
2040-2045,75,.8812134700000001,2040,1965,.22294506,1,.77705491,.082731463
2015-2020,50,.97550868,2015,1965,.22294506,1,.77705491,.082731463
2020-2025,55,.96491361,2020,1965,.22294506,1,.77705491,.082731463
2000-2004,35,.9920399785041809,2000,1965,.22294506,1,.77705491,.082731463
2025-2030,60,.95301365,2025,1965,.22294506,1,.77705491,.082731463
2065-2070,95,.32862754,2065,1970,.23769443,0,.76230556,.082731463
2000-2004,30,.9944199919700623,2000,1970,.23769443,0,.76230556,.082731463
2035-2040,65,.94492807,2035,1970,.23769443,0,.76230556,.082731463
2015-2020,45,.98442421,2015,1970,.23769443,0,.76230556,.082731463
2040-2045,70,.9246961,2040,1970,.23769443,0,.76230556,.082731463
2025-2030,55,.9669479,2025,1970,.23769443,0,.76230556,.082731463
2005-2009,35,.9926699995994568,2005,1970,.23769443,0,.76230556,.082731463
2060-2065,90,.55383499,2060,1970,.23769443,0,.76230556,.082731463
2045-2050,75,.88897427,2045,1970,.23769443,0,.76230556,.082731463
1990-1994,20,.9946200251579285,1990,1970,.23769443,0,.76230556,.082731463
2050-2055,80,.82570738,2050,1970,.23769443,0,.76230556,.082731463
1995-1999,25,.9950299859046936,1995,1970,.23769443,0,.76230556,.082731463
2055-2060,85,.71909794,2055,1970,.23769443,0,.76230556,.082731463
2030-2035,60,.95776782,2030,1970,.23769443,0,.76230556,.082731463
2010-2014,40,.9900100231170654,2010,1970,.23769443,0,.76230556,.082731463
2020-2025,50,.97661624,2020,1970,.23769443,0,.76230556,.082731463
2010-2014,35,.9929400086402893,2010,1975,.25469396,1,.74530602,.082731463
2055-2060,80,.83476329,2055,1975,.25469396,1,.74530602,.082731463
2040-2045,65,.9488115,2040,1975,.25469396,1,.74530602,.082731463
2030-2035,55,.97003102,2030,1975,.25469396,1,.74530602,.082731463
2065-2070,90,.56579567,2065,1975,.25469396,1,.74530602,.082731463
1995-1999,20,.9951800107955933,1995,1975,.25469396,1,.74530602,.082731463
2000-2004,25,.9952200055122375,2000,1975,.25469396,1,.74530602,.082731463
2060-2065,85,.73037829,2060,1975,.25469396,1,.74530602,.082731463
2005-2009,30,.9943900108337402,2005,1975,.25469396,1,.74530602,.082731463
2050-2055,75,.8958387799999999,2050,1975,.25469396,1,.74530602,.082731463
2020-2025,45,.98461031,2020,1975,.25469396,1,.74530602,.082731463
2045-2050,70,.9299983000000001,2045,1975,.25469396,1,.74530602,.082731463
2015-2020,40,.9891822300000001,2015,1975,.25469396,1,.74530602,.082731463
2025-2030,50,.97799189,2025,1975,.25469396,1,.74530602,.082731463
2070-2075,95,.33646845,2070,1975,.25469396,1,.74530602,.082731463
2035-2040,60,.96069191,2035,1975,.25469396,1,.74530602,.082731463
2025-2030,45,.9854607399999999,2025,1980,.27542722,0,.72457278,.082731463
2020-2025,40,.98908249,2020,1980,.27542722,0,.72457278,.082731463
2075-2080,95,.34411823,2075,1980,.27542722,0,.72457278,.082731463
2065-2070,85,.7410577,2065,1980,.27542722,0,.72457278,.082731463
2010-2014,30,.9943299889564514,2010,1980,.27542722,0,.72457278,.082731463
2050-2055,70,.93455746,2050,1980,.27542722,0,.72457278,.082731463
2070-2075,90,.57714677,2070,1980,.27542722,0,.72457278,.082731463
2035-2040,55,.97191296,2035,1980,.27542722,0,.72457278,.082731463
2055-2060,75,.9019324,2055,1980,.27542722,0,.72457278,.082731463
2060-2065,80,.84295179,2060,1980,.27542722,0,.72457278,.082731463
2015-2020,35,.99123185,2015,1980,.27542722,0,.72457278,.082731463
2045-2050,65,.95232853,2045,1980,.27542722,0,.72457278,.082731463
2000-2004,20,.9952600002288818,2000,1980,.27542722,0,.72457278,.082731463
2040-2045,60,.96333141,2040,1980,.27542722,0,.72457278,.082731463
2005-2009,25,.9949700236320496,2005,1980,.27542722,0,.72457278,.082731463
2030-2035,50,.98002272,2030,1980,.27542722,0,.72457278,.082731463
2065-2070,80,.8506462,2065,1985,.30107746,0,.69892251,.082731463
2050-2055,65,.95537724,2050,1985,.30107746,0,.69892251,.082731463
2005-2009,20,.9952300190925598,2005,1985,.30107746,0,.69892251,.082731463
2045-2050,60,.9657738300000001,2045,1985,.30107746,0,.69892251,.082731463
2030-2035,45,.98676157,2030,1985,.30107746,0,.69892251,.082731463
2020-2025,35,.99126877,2020,1985,.30107746,0,.69892251,.082731463
2035-2040,50,.98127619,2035,1985,.30107746,0,.69892251,.082731463
2040-2045,55,.97366994,2040,1985,.30107746,0,.69892251,.082731463
2010-2014,25,.9951300024986267,2010,1985,.30107746,0,.69892251,.082731463
2025-2030,40,.98958377,2025,1985,.30107746,0,.69892251,.082731463
2075-2080,90,.58811314,2075,1985,.30107746,0,.69892251,.082731463
2060-2065,75,.90741372,2060,1985,.30107746,0,.69892251,.082731463
2055-2060,70,.93861001,2055,1985,.30107746,0,.69892251,.082731463
2070-2075,85,.75105764,2070,1985,.30107746,0,.69892251,.082731463
2080-2085,95,.35200409,2080,1985,.30107746,0,.69892251,.082731463
2015-2020,30,.99264263,2015,1985,.30107746,0,.69892251,.082731463
2035-2040,45,.98758351,2035,1990,.32963991,0,.67036009,.082731463
2050-2055,60,.96793742,2050,1990,.32963991,0,.67036009,.082731463
2070-2075,80,.85781293,2070,1990,.32963991,0,.67036009,.082731463
2010-2014,20,.9957699775695801,2010,1990,.32963991,0,.67036009,.082731463
2020-2025,30,.9924817500000001,2020,1990,.32963991,0,.67036009,.082731463
2085-2090,95,.35997243,2085,1990,.32963991,0,.67036009,.082731463
2080-2085,90,.59928439,2080,1990,.32963991,0,.67036009,.082731463
2065-2070,75,.91256693,2065,1990,.32963991,0,.67036009,.082731463
2025-2030,35,.99150962,2025,1990,.32963991,0,.67036009,.082731463
2045-2050,55,.97534965,2045,1990,.32963991,0,.67036009,.082731463
2075-2080,85,.76064601,2075,1990,.32963991,0,.67036009,.082731463
2030-2035,40,.99040325,2030,1990,.32963991,0,.67036009,.082731463
2040-2045,50,.98246802,2040,1990,.32963991,0,.67036009,.082731463
2060-2065,70,.94226552,2060,1990,.32963991,0,.67036009,.082731463
2015-2020,25,.99384606,2015,1990,.32963991,0,.67036009,.082731463
2055-2060,65,.9581182499999999,2055,1990,.32963991,0,.67036009,.082731463
