year,Gini_dta_5yr,Gini_data_wealth_trend,psid_ntx_govt__,psid_nts_govt__,psid_ntp_govt__,psid_ntl_govt__,psid_ntk_govt__,psid_ntc_govt__,psid_nsh_govt__,psid_nls_govt__,psid_nlb_govt__,psid_nga_govt__,psid_nds_govt__,psid_ndp_govt__,psid_ndo_govt__,psid_ndm_govt__,psid_ncs_govt__,psid_ncp_govt__,psid_all_govt__,nstr_ndm_govt__,nstr_all_govt__,ndel_ndm_govt__,ndel_all_govt__,hrat_ndm_govt__,hrat_all_govt__,gcbo_ndm_govt__,gcbo_all_govt__,exor_all_govt__,crr3_ndm_govt__,crr3_all_govt__,beqs_ndm_govt__,beqs_all_govt__,_merge
2070,,,.78645259,.78908509,.77470183,.78033066,.78710043,.78121138,.76323754,.79482561,.73989743,.7837435,.76825202,.76860893,.79101503,.76231188,.76814371,.77002001,.77894819,.74425727,.76495028,.6269933,.6698423,.76911086,.78652745,.76466382,.7843008,.75765508,.73530167,.75465864,.75154138,.76484013,2
2075,,,.78675967,.78952199,.77506208,.78066862,.78744441,.78152877,.76363277,.79533869,.74028552,.78409845,.76978207,.76884454,.79102027,.76229829,.76857185,.77042174,.77929527,.74427068,.76552916,.62727129,.67110938,.76901227,.78692955,.76456583,.78455698,.7582323,.73510671,.75491118,.75170797,.76546979,2
2080,,,.78696114,.78982359,.77530086,.78089273,.7876696,.78173292,.76386499,.79572314,.74064577,.78433919,.77101338,.76895392,.79108882,.76237637,.76899135,.77074742,.77952182,.74434829,.7659061,.62763649,.67239696,.7690174,.7871682,.76459825,.78470886,.75848591,.73515373,.75511801,.75194889,.76607352,2
2085,,,.78697753,.78989691,.77533782,.78092462,.78769505,.78175282,.76385623,.7958945,.74080175,.78439242,.77181828,.76884878,.79115725,.76244909,.76925832,.77088946,.77955216,.74442858,.7660194,.62797874,.67335886,.76904494,.78718829,.76465952,.78470647,.75823283,.73536879,.75525033,.75229293,.76650041,2
2090,,,.7868138,.78975618,.77519351,.78077257,.78753519,.78159589,.7636686,.79584384,.74076492,.7842561,.77230525,.76858056,.79107463,.76237911,.76932287,.77084047,.77940094,.74438572,.76593316,.62787896,.67372507,.76895106,.78703117,.76458848,.78454942,.75768721,.7354691,.75524026,.75257987,.76666451,2
2095,,,.78697973,.78989869,.77539891,.78095639,.78770226,.78178048,.76385987,.79604715,.74108225,.78443962,.77282625,.76870215,.79091763,.76222807,.76968336,.77112556,.77959192,.74428624,.76619571,.62749225,.67430478,.76878899,.7872104,.7644369,.78473592,.75749457,.73543483,.75557363,.7528078,.76690149,2
2100,,,.78699732,.78989273,.77545452,.78099185,.78772277,.78181678,.76392394,.79605997,.74120212,.78446943,.7731148,.76871741,.79080188,.76218307,.76983094,.77123803,.779634,.74430978,.7663179,.62731844,.67440957,.76874316,.78725952,.76439226,.78477687,.75721455,.73544294,.75572598,.75305593,.76704627,2
2105,,,.78699255,.7898854,.77548391,.78100336,.78772038,.78182679,.76398438,.79606336,.74126607,.78447813,.77345663,.7687121,.79078168,.76227731,.76989502,.7713021,.77965039,.74448013,.76642758,.62743336,.67429978,.76885003,.78729862,.76448703,.78479141,.75713521,.73552334,.75578028,.75328052,.76713854,2
2110,,,.78714532,.79004103,.77566302,.78116858,.78787357,.7819854,.76419806,.7962321,.7414642,.78464359,.77395326,.76884788,.79086858,.76244354,.7700702,.77150476,.77981669,.74471718,.76668918,.62768126,.6745289,.76903945,.7874853,.76465201,.78495759,.75728834,.73568189,.75592363,.75347143,.76739508,2
2115,,,.78748292,.79037189,.77602547,.78152037,.78820711,.78233099,.76458043,.79657829,.74183333,.78499556,.77446222,.76916552,.79105002,.76262003,.77040988,.77188635,.78016734,.74495536,.7671209,.6279512,.67519444,.76924568,.78784591,.76482528,.78530759,.75762206,.7358914,.75625128,.75366908,.76785207,2
