year,age,edclass,race,sex,population,tmort,trate
1990,53,3,0,0,436063.875,1824.144775390625,418.320556640625
1990,54,0,0,0,2193502,15248,695.1441040039063
1990,54,1,0,0,1758140,13375.5,760.7755737304688
1990,54,3,0,0,435362.0625,1872.49951171875,430.1016845703125
1990,55,0,0,0,2169415,16959,781.7315063476563
1990,55,1,0,0,1736347.625,14862.734375,855.9768676757813
1990,55,3,0,0,433067.40625,2096.265625,484.0506591796875
1990,56,0,0,0,2059469,17419,845.800537109375
1990,56,1,0,0,1687009.75,15268.0390625,905.03564453125
1990,56,3,0,0,372459.21875,2150.96142578125,577.5025634765625
1990,57,0,0,0,2088250,19260,922.3033447265625
1990,57,1,0,0,1682764.25,16967.40625,1008.305603027344
1990,57,3,0,0,405485.75,2292.593994140625,565.3944702148438
1990,58,0,0,0,1975273,21114,1068.91552734375
1990,58,1,0,0,1666999.75,18364.1484375,1101.628784179688
1990,58,3,0,0,308273.34375,2749.85107421875,892.0171508789063
1990,59,0,0,0,2185752,23111,1057.347778320313
1990,59,1,0,0,1828328.25,20240.1953125,1107.032958984375
1990,59,3,0,0,357423.5625,2870.80322265625,803.193603515625
1990,60,0,0,0,2155192,26214,1216.318603515625
1990,60,1,0,0,1761756.75,23141.25,1313.532592773438
1990,60,3,0,0,393435.28125,3072.750732421875,781.00537109375
1990,61,0,0,0,2092957,27616,1319.472900390625
1990,61,1,0,0,1760743,24428.70703125,1387.409057617188
1990,61,3,0,0,332214.0625,3187.292724609375,959.4093627929688
1990,62,0,0,0,2141986,31511,1471.111328125
1990,62,1,0,0,1820071.625,28101.126953125,1543.957153320313
1990,62,3,0,0,321914.375,3409.873046875,1059.248413085938
1990,63,0,0,0,2110266,33628,1593.543212890625
1990,63,1,0,0,1748020.75,29969.6640625,1714.491333007813
1990,63,3,0,0,362245.125,3658.335693359375,1009.906127929688
1990,64,0,0,0,2123081,35859,1689.007568359375
1990,64,1,0,0,1795425.375,31964.529296875,1780.331787109375
1990,64,3,0,0,327655.53125,3894.47216796875,1188.58740234375
1990,65,0,0,0,2120777,39480,1861.581909179688
1990,65,1,0,0,1823138,35151.390625,1928.07080078125
1990,65,3,0,0,297639.0625,4328.609375,1454.31494140625
1990,66,0,0,0,2056084,41064,1997.194702148438
1990,66,1,0,0,1745685,36697.4375,2102.1796875
1990,66,3,0,0,310399.125,4366.56201171875,1406.757202148438
1990,67,0,0,0,2000180,42987,2149.156494140625
1990,67,1,0,0,1764113.625,38450.546875,2179.595703125
1990,67,3,0,0,236066.3125,4536.45556640625,1921.68701171875
1990,68,0,0,0,1961320,45912,2340.87255859375
1990,68,1,0,0,1717049.5,41246.046875,2402.146728515625
1990,68,3,0,0,244270.484375,4665.951171875,1910.157592773438
1990,69,0,0,0,1940562,47889,2467.790283203125
1990,69,1,0,0,1670020.75,42945.0546875,2571.5283203125
1990,69,3,0,0,270541.25,4943.943359375,1827.426879882813
1990,70,0,0,0,1785648,49842,2791.255615234375
1990,70,1,0,0,1591371.5,45134.6015625,2836.207763671875
1990,70,3,0,0,194276.578125,4707.39599609375,2423.038330078125
1990,71,0,0,0,1684946,49596,2943.47705078125
1990,71,1,0,0,1488672.625,44745.4140625,3005.7255859375
1990,71,3,0,0,196273.28125,4850.587890625,2471.343994140625
1990,72,0,0,0,1606680,52198,3248.811279296875
1990,72,1,0,0,1404163.5,47178.765625,3359.919677734375
1990,72,3,0,0,202516.484375,5019.23583984375,2478.43310546875
1990,73,0,0,0,1498587,53444,3566.292724609375
1990,73,1,0,0,1322544.5,48506.71875,3667.681396484375
1990,73,3,0,0,176042.484375,4937.2802734375,2804.595947265625
1990,74,0,0,0,1449202,55535,3832.10888671875
1990,74,1,0,0,1290252.25,50540.671875,3917.115478515625
1990,74,3,0,0,158949.875,4994.32763671875,3142.0771484375
1990,75,0,0,0,1404203,57864,4120.771484375
1990,75,1,0,0,1270022.875,52618.30078125,4143.0986328125
1990,75,3,0,0,134180.109375,5245.697265625,3909.44482421875
1990,76,0,0,0,1299116,60004,4618.8330078125
1990,76,1,0,0,1180352.75,54562.609375,4622.56787109375
1990,76,3,0,0,118763.2265625,5441.3916015625,4581.71435546875
1990,77,0,0,0,1230706,61205,4973.16162109375
1990,77,1,0,0,1091732.75,55574.21875,5090.4599609375
1990,77,3,0,0,138973.296875,5630.7822265625,4051.700927734375
1990,78,0,0,0,1148198,60456,5265.2939453125
1990,78,1,0,0,1020071.375,54808.625,5373.0185546875
1990,78,3,0,0,128126.6640625,5647.373046875,4407.6484375
1990,79,0,0,0,1064773,61585,5783.86181640625
1990,79,1,0,0,962540.4375,55634.87109375,5780.00341796875
1990,79,3,0,0,102232.546875,5950.1279296875,5820.189453125
1990,80,0,0,0,953034,62032,6508.89697265625
1990,80,1,0,0,853367,55805.875,6539.4931640625
1990,80,3,0,0,99666.96875,6226.12646484375,6246.9306640625
1990,81,0,0,0,863811,60876,7047.375
1990,81,1,0,0,787391.75,54443.875,6914.45849609375
1990,81,3,0,0,76419.265625,6432.125,8416.8896484375
1990,82,0,0,0,788446,60870,7720.24951171875
1990,82,1,0,0,728736.625,54408.41796875,7466.12939453125
1990,82,3,0,0,59709.41796875,6461.5810546875,10821.7119140625
1990,83,0,0,0,705360,59278,8403.935546875
1990,83,1,0,0,651666.4375,52769.8046875,8097.6708984375
1990,83,3,0,0,53693.5546875,6508.1962890625,12121.0009765625
1990,84,0,0,0,626046,57269,9147.73046875
1990,84,1,0,0,547910.3125,50972.0390625,9302.9892578125
1990,84,3,0,0,78135.6640625,6296.96240234375,8059.01171875
1991,25,0,0,0,3879889,4390,113.1475677490234
1991,25,1,0,0,3020487.25,4025.35791015625,133.2684936523438
1991,25,3,0,0,859401.875,364.6420288085938,42.42974472045898
1991,26,0,0,0,4077160,4737,116.1838150024414
1991,26,1,0,0,3101621.5,4321.99169921875,139.3462066650391
1991,26,3,0,0,975538.5625,415.0082702636719,42.54145050048828
1991,27,0,0,0,4260551,5279,123.9041595458984
1991,27,1,0,0,3241952.5,4798.8388671875,148.0231018066406
1991,27,3,0,0,1018598.625,480.160888671875,47.13936233520508
1991,28,0,0,0,4127376,5352,129.6707611083984
1991,28,1,0,0,3202067.5,4880.27880859375,152.4102478027344
1991,28,3,0,0,925308.4375,471.7211303710938,50.97988128662109
1991,29,0,0,0,4578161,5695,124.3949279785156
1991,29,1,0,0,3499469.5,5131.666015625,146.6412506103516
1991,29,3,0,0,1078691.5,563.333740234375,52.22380447387695
1991,30,0,0,0,4529269,6326,139.6693420410156
1991,30,1,0,0,3487122.5,5679.7568359375,162.8780364990234
1991,30,3,0,0,1042146.375,646.2430419921875,62.01077651977539
1991,31,0,0,0,4445258,6608,148.6527862548828
1991,31,1,0,0,3402384.5,5882.29443359375,172.8874053955078
1991,31,3,0,0,1042874,725.70556640625,69.58708190917969
1991,32,0,0,0,4401676,6625,150.5108489990234
1991,32,1,0,0,3370836.5,5855.15283203125,173.7002868652344
1991,32,3,0,0,1030839.875,769.847412109375,74.68157196044922
1991,33,0,0,0,4395224,7059,160.6061553955078
1991,33,1,0,0,3297614,6159.85986328125,186.7974853515625
1991,33,3,0,0,1097610.25,899.139892578125,81.91795349121094
1991,34,0,0,0,4529438,7500,165.5834503173828
1991,34,1,0,0,3365796.5,6476.7275390625,192.4277801513672
1991,34,3,0,0,1163641.5,1023.272216796875,87.93706512451172
1991,35,0,0,0,4340043,7732,178.1549224853516
1991,35,1,0,0,3254513.25,6655.13671875,204.4894714355469
1991,35,3,0,0,1085529.75,1076.863037109375,99.20161437988281
1991,36,0,0,0,4205270,7890,187.6217193603516
1991,36,1,0,0,3115212.5,6720.681640625,215.7375030517578
1991,36,3,0,0,1090057.25,1169.318359375,107.2712783813477
1991,37,0,0,0,4126608,8113,196.6021423339844
1991,37,1,0,0,3092047,6907.5849609375,223.3984527587891
1991,37,3,0,0,1034561.125,1205.415283203125,116.5146484375
1991,38,0,0,0,3806338,8305,218.188720703125
1991,38,1,0,0,2718791.5,7032.9150390625,258.677978515625
1991,38,3,0,0,1087546.375,1272.085205078125,116.9683609008789
1991,39,0,0,0,4099089,8497,207.2899627685547
1991,39,1,0,0,3030265.5,7165.3935546875,236.4609222412109
1991,39,3,0,0,1068823.25,1331.6064453125,124.5862197875977
1991,40,0,0,0,3840820,8822,229.6905364990234
1991,40,1,0,0,2765899,7289.3125,263.542236328125
1991,40,3,0,0,1074921.25,1532.687255859375,142.5859985351563
1991,41,0,0,0,3710902,8980,241.9896850585938
1991,41,1,0,0,2630450,7378.68798828125,280.5104675292969
1991,41,3,0,0,1080452,1601.31201171875,148.2075958251953
1991,42,0,0,0,3632479,9372,258.005615234375
1991,42,1,0,0,2564142.5,7685.53125,299.7310485839844
1991,42,3,0,0,1068336.75,1686.468505859375,157.8592681884766
1991,43,0,0,0,3590007,9654,268.9131164550781
1991,43,1,0,0,2544722.25,7966.54736328125,313.0615539550781
1991,43,3,0,0,1045284.75,1687.45263671875,161.4347381591797
1991,44,0,0,0,3977910,10706,269.1362915039063
1991,44,1,0,0,2781013.25,8758.1484375,314.926513671875
1991,44,3,0,0,1196896.875,1947.852294921875,162.7418670654297
1991,45,0,0,0,2844552,9340,328.3469543457031
1991,45,1,0,0,2111251,7770.6630859375,368.0596618652344
1991,45,3,0,0,733301.25,1569.337280273438,214.0099029541016
1991,46,0,0,0,2828024,9923,350.8810424804688
1991,46,1,0,0,2033540,8264.640625,406.4164428710938
1991,46,3,0,0,794484.1875,1658.359741210938,208.7341461181641
1991,47,0,0,0,2855110,10635,372.4900207519531
1991,47,1,0,0,2177062,8933.4912109375,410.34619140625
1991,47,3,0,0,678047.875,1701.508544921875,250.9422454833984
1991,48,0,0,0,2872697,11851,412.5391540527344
1991,48,1,0,0,2200307.25,9853.53125,447.8252563476563
